Month,Log Ret EP,d/p,e/p,b/m,ntis,d/e,tbl,dfy,tms
193407,-0.122505737,-2.968906387,-2.917747691,0.914253265,0.009075422,-0.051158696,0.0015,0.0224,0.0273
193408,0.05257403,-3.01962193,-2.961779721,0.866896403,0.025096441,-0.057842209,0.0019,0.0256,0.028
193409,-0.00565445,-3.012353155,-2.947465533,0.870364364,0.024344216,-0.064887622,0.0021,0.0261,0.0289
193410,-0.032611948,-2.978180068,-2.906321205,0.862253642,0.027851392,-0.071858862,0.0027,0.025,0.0273
193411,0.079397734,-3.055780542,-2.977451748,0.782008937,0.023938913,-0.078328794,0.0025,0.0251,0.0274
193412,-0.004393335,-3.049799495,-2.964641686,0.773740869,0.019193422,-0.085157808,0.0023,0.0242,0.027
193501,-0.043184038,-3.00678211,-2.770393332,0.791621595,0.019692961,-0.236388778,0.002,0.0221,0.0261
193502,-0.040522545,-2.966417886,-2.598693106,0.786286384,0.01403623,-0.36772478,0.0019,0.0226,0.0256
193503,-0.031504673,-2.935038205,-2.451241254,0.800754118,0.012234043,-0.483796951,0.0015,0.0253,0.0259
193504,0.091206046,-3.033803475,-2.506693563,0.737322979,0.019880301,-0.527109912,0.0015,0.0247,0.0254
193505,0.031691053,-3.07311169,-2.503874978,0.729392625,0.019274589,-0.569236712,0.0015,0.0229,0.0261
193506,0.065521996,-3.146305132,-2.536045611,0.681818182,0.019218951,-0.610259521,0.0015,0.0216,0.0255
193507,0.079692109,-3.226122233,-2.636653902,0.639309197,0.018489332,-0.589468331,0.0015,0.0211,0.0253
193508,0.021296067,-3.247551625,-2.679314665,0.63368669,0.006513157,-0.56823696,0.0016,0.0198,0.0265
193509,0.023404932,-3.271123209,-2.724579503,0.611734384,0.009179983,-0.546543706,0.002,0.0194,0.0262
193510,0.072214203,-3.32103121,-2.796960359,0.577501073,0.005326317,-0.524070851,0.002,0.0202,0.0259
193511,0.03843895,-3.337624578,-2.835532634,0.566952368,0.000744401,-0.502091944,0.0016,0.0196,0.0264
193512,0.03627023,-3.352513595,-2.871927856,0.559911191,0.01168176,-0.480585739,0.0015,0.0186,0.0261
193601,0.06330093,-3.394927769,-2.922323358,0.53983544,0.011508439,-0.472604411,0.002,0.0163,0.0265
193602,0.016465747,-3.390940881,-2.926052353,0.529076247,0.016263675,-0.464888529,0.002,0.0148,0.0261
193603,0.024944948,-3.395849775,-2.938424928,0.527696047,0.011793054,-0.457424847,0.002,0.0157,0.0255
193604,-0.080376935,-3.282849025,-2.820943251,0.566348596,0.02366014,-0.461905774,0.002,0.0162,0.0254
193605,0.044569241,-3.295837491,-2.829747136,0.540487421,0.022952765,-0.466090355,0.002,0.0167,0.0253
193606,0.029931378,-3.295163238,-2.825159609,0.523178388,0.019611962,-0.470003629,0.002,0.0166,0.0253
193607,0.06571827,-3.325288418,-2.868530016,0.500424603,0.021662656,-0.456758402,0.0015,0.0161,0.0256
193608,0.008627374,-3.299596269,-2.855345136,0.496121234,0.019583544,-0.444251133,0.002,0.0153,0.0244
193609,0.001116676,-3.267509849,-2.835088931,0.491598141,0.02094379,-0.432420918,0.0016,0.0144,0.0252
193610,0.072168756,-3.28141441,-2.879391817,0.465707028,0.021545949,-0.402022593,0.0013,0.0136,0.0256
193611,0.003967491,-3.230322747,-2.856239087,0.450278354,0.027622095,-0.37408366,0.0011,0.0137,0.0246
193612,-0.005903842,-3.172249984,-2.823943289,0.458588105,0.02064082,-0.348306694,0.0012,0.0143,0.0243
193701,0.036994859,-3.195593177,-2.832092268,0.446573563,0.020890589,-0.363500909,0.0017,0.0139,0.0241
193702,0.014351875,-3.196464392,-2.818398258,0.440775765,0.021141121,-0.378066134,0.0015,0.0131,0.0238
193703,-0.009758508,-3.17359948,-2.781557392,0.458666381,0.031968319,-0.392042088,0.0038,0.0136,0.0247
193704,-0.087275033,-3.047570291,-2.676891299,0.490618007,0.02121042,-0.370678992,0.0056,0.0142,0.0228
193705,-0.010742436,-2.999429135,-2.648946162,0.489382405,0.021255392,-0.350482974,0.0041,0.0151,0.0241
193706,-0.05464055,-2.908720897,-2.577363761,0.504961021,0.028885573,-0.331357136,0.0036,0.0165,0.0249
193707,0.097435365,-3.034560037,-2.660885116,0.46464866,0.023001322,-0.373674921,0.0028,0.0166,0.0249
193708,-0.057192216,-3.006597824,-2.589992889,0.481934502,0.027005575,-0.416604935,0.0029,0.0168,0.0257
193709,-0.15357807,-2.883130597,-2.422914974,0.553147441,0.031775156,-0.460215623,0.0031,0.0188,0.0253
193710,-0.107467033,-2.762926811,-2.340512145,0.617417678,0.035719117,-0.422414666,0.002,0.0225,0.0263
193711,-0.106694846,-2.643567937,-2.259425599,0.692419825,0.033093759,-0.384142339,0.0009,0.0258,0.0269
193712,-0.051811406,-2.579269411,-2.233908227,0.707488622,0.024175971,-0.345361184,0.0011,0.0252,0.0262
193801,0.013099535,-2.600820946,-2.295435781,0.701567244,0.030945345,-0.305385166,0.001,0.0272,0.0261
193802,0.058960909,-2.668286544,-2.405274283,0.659518667,0.024416227,-0.263012261,0.0008,0.0277,0.026
193803,-0.288336799,-2.388527523,-2.170525371,0.892369884,0.02576423,-0.218002152,0.0008,0.0308,0.0265
193804,0.131984725,-2.537828616,-2.373789908,0.79079348,0.022589265,-0.164038708,0.0009,0.0317,0.025
193805,-0.045384172,-2.510031297,-2.405112517,0.819565621,0.025088927,-0.104918781,0.0005,0.0284,0.0252
